STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,UNIT_MEASURE_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SH_STA_SUIC_FE_P5,F,2002,0.29,West Bank and Gaza,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SH_STA_SUIC_FE_P5,F,2002,4.91,"Yemen, Rep.","Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_STA_SUIC_FE_P5,F,2002,3.37,Zambia,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_STA_SUIC_FE_P5,F,2002,9.32,Zimbabwe,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_STA_SUIC_FE_P5,F,2003,4.142651907589768,Eastern & Southern Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_STA_SUIC_FE_P5,F,2003,2.4964471746606027,Western & Central Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SH_STA_SUIC_FE_P5,F,2003,2.289437333206909,Arab World,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SH_STA_SUIC_FE_P5,F,2003,6.767238252895208,Central Europe and the Baltics,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_SH_STA_SUIC_FE_P5,F,2010,1.7,"Venezuela, RB","Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SH_STA_SUIC_FE_P5,F,2010,4.41,Vietnam,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
